date,indice,value
1998-09-10,00471X0095,62.98
1998-09-17,00471X0095,62.86
1998-09-24,00471X0095,62.76
1998-10-01,00471X0095,62.66
1998-10-08,00471X0095,62.57
1998-10-15,00471X0095,62.48
1998-10-22,00471X0095,62.40
1998-10-30,00471X0095,62.37
1998-11-05,00471X0095,62.50
1998-11-13,00471X0095,62.62
1998-11-19,00471X0095,62.73
1998-11-26,00471X0095,62.90
1998-12-03,00471X0095,63.06
1998-12-12,00471X0095,63.28
1998-12-17,00471X0095,63.43
1998-12-24,00471X0095,63.63
1998-12-31,00471X0095,63.89
1999-01-07,00471X0095,64.14
1999-01-15,00471X0095,64.49
1999-01-22,00471X0095,64.85
1999-01-27,00471X0095,65.25
1999-02-04,00471X0095,65.73
1999-02-11,00471X0095,66.31
1999-02-19,00471X0095,66.75
1999-02-26,00471X0095,67.17
1999-03-04,00471X0095,67.72
1999-03-11,00471X0095,68.25
1999-03-18,00471X0095,68.96
1999-03-26,00471X0095,69.63
1999-04-01,00471X0095,69.93
1999-04-09,00471X0095,70.13
1999-04-16,00471X0095,70.25
1999-04-23,00471X0095,70.27
1999-04-29,00471X0095,70.23
1999-05-07,00471X0095,70.13
1999-05-13,00471X0095,69.99
1999-05-20,00471X0095,69.84
1999-05-27,00471X0095,69.64
1999-06-04,00471X0095,69.38
1999-06-10,00471X0095,69.20
1999-06-17,00471X0095,68.98
1999-06-24,00471X0095,68.75
1999-07-01,00471X0095,68.55
1999-07-09,00471X0095,68.30
1999-07-16,00471X0095,68.10
1999-07-23,00471X0095,67.87
1999-07-29,00471X0095,67.68
1999-08-06,00471X0095,67.41
1999-08-12,00471X0095,67.21
1999-08-20,00471X0095,66.95
1999-08-26,00471X0095,66.76
1999-09-02,00471X0095,66.55
1999-09-10,00471X0095,66.33
1999-09-16,00471X0095,66.17
1999-09-23,00471X0095,65.99
1999-09-30,00471X0095,65.85
1999-10-08,00471X0095,65.65
1999-10-16,00471X0095,65.51
1999-10-22,00471X0095,65.41
1999-10-28,00471X0095,65.30
1999-11-04,00471X0095,65.20
1999-11-18,00471X0095,64.99
1999-11-25,00471X0095,64.92
1999-12-02,00471X0095,64.85
1999-12-10,00471X0095,64.79
1999-12-17,00471X0095,65.13
1999-12-23,00471X0095,65.67
1999-12-30,00471X0095,68.16
2000-01-06,00471X0095,69.63
2000-01-13,00471X0095,70.45
2000-01-21,00471X0095,70.97
2000-01-27,00471X0095,71.20
2000-02-03,00471X0095,71.30
2000-02-10,00471X0095,71.35
2000-02-17,00471X0095,71.33
2000-02-25,00471X0095,71.36
2000-03-02,00471X0095,71.39
2000-03-09,00471X0095,71.44
2000-03-17,00471X0095,71.52
2000-03-24,00471X0095,71.59
2000-03-30,00471X0095,71.62
2000-04-06,00471X0095,71.57
